company_name,company_number,_score,incorporation_date,registered_office_address,check_status,website_url,career_page_url,has_openings,matching_roles_found,last_checked_date,shortlist,notes
AGENZIA LIGURIA RUSSIA LTD,07808773,14.5,13-10-2011,167-169 Great Portland Street London W1W 5PF,checked,,,unclear,,2026-08-17,,no website found; appears to be UK shell for Italy-based entity
MORNINGSTAR WEALTH ADMINISTRATION LIMITED,06016828,14.0,04-12-2006,1 Oliver's Yard London England EC1Y 1HQ,checked,https://www.morningstarwealthplatform.com,https://www.morningstar.com/careers,yes,Graduate Investment Analyst; Investment Analyst; Funds Reporter; Operations Analyst,2026-08-17,yes,regulated UK subsidiary of Morningstar Inc; parent careers site lists London analyst/ops/graduate roles
B KING ASSOCIATES LTD,07477764,14.0,23-12-2010,Flat 3 North Lodge London N22 7UB,checked,,,unclear,,2026-08-17,,no website found; likely small/dormant shell company
MASTER FINCAPITAL LTD,07431816,14.0,08-11-2010,C/O Rpgcc London England EC3V 0BT,checked,,,no,,2026-08-17,,"FCA cancelled firm's permissions in 2021, no regulated activity since 2019; no website"
PIERS COURT CAPITAL LIMITED,07454416,14.0,29-11-2010,65 Cadogan Square London SW1X 0DY,checked,,,unclear,,2026-08-17,,no dedicated website found; small private capital/venture firm
PHOENIX UNIVERSAL  SOLUTIONS LIMITED,07116827,14.0,05-01-2010,10 Offord Grove Offord Grove Watford England WD25 7NE,pending,,,,,,,
FLUID7 LIMITED,05826599,14.0,23-05-2006,C11 Generator Hall Electric Wharf Coventry England CV1 4JL,checked,https://fluid7.co.uk/,https://fluid7.co.uk/careers,no,,2026-08-17,,"web dev agency not fund manager; only PHP developer role open, no finance roles"
MARSHALL STERLING ASSET MANAGEMENT LIMITED,06773042,14.0,15-12-2008,27 Old Gloucester Street London England WC1N 3AX,checked,https://marshallsterling.co.uk/,https://marshallsterling.co.uk/career-opportunities/,yes,Portfolio Manager; Fund Manager; Trader; Corporate Finance Banker,2026-08-17,yes,FCA-regulated career opportunities page lists investment/portfolio roles
MAHER BROWNSWORD LIMITED,04460050,14.0,13-06-2002,10 Guild Street Stratford-Upon-Avon CV37 6RE,checked,https://www.maherbrownsword.co.uk/,,no,,2026-08-17,,small financial advisers firm; website found but no careers page
CITY TRAINING LIMITED,03734888,14.0,17-03-1999,19 The Ridgeway null N3 2PG,checked,,,unclear,,2026-08-17,,no website found; generic name conflicts with similarly named training firms
STOCKDALE STREET LIMITED,04481271,14.0,09-07-2002,1 Charterhouse Street London EC1N 6SA,checked,http://www.stockdalestreet.co.uk/,,unclear,,2026-08-17,,"real investment manager (family office), website found but no careers page located"
AXM VENTURE CAPITAL (HOLDINGS) LIMITED,05355331,14.0,07-02-2005,57g Randolph Avenue London W9 1BQ,checked,http://www.axmvc.co.uk/,,unclear,,2026-08-17,,"small VC firm (2 employees), website found but no careers page located"
PROMARKET INTERNATIONAL PLC,08251885,14.0,12-10-2012,"Unit 3,  Office A,  1st Floor London England EC3R 8EE",checked,,,no,,2026-08-17,,"dormant/non-active company, no website found"
SAGE & HERMES LIMITED,02958215,14.0,12-08-1994,44 Worthington Road Surrey KT6 7RX,checked,https://www.sageandhermes.com/,,no,,2026-08-17,,"research/publishing house for fund mgmt industry, not itself a fund manager"
BOSTON INVESTMENT MANAGEMENT GROUP LIMITED,01007782,14.0,14-04-1971,Wildwoods Beaconsfield HP9 2NR,checked,,,no,,2026-08-17,,No dedicated careers page found for Boston Investment Management Group
QUANTUM ENGINEERING CONSULTANCY LTD,07172848,14.0,01-03-2010,33a Norfolk Street Sunderland SR1 1EE,checked,,,unclear,,2026-08-17,,no website found; multiple similarly-named firms elsewhere confused search
DUKE GODLEY FINANCIAL PLANNING LIMITED,02268794,14.0,17-06-1988,Congress House Harrow HA1 2EN,checked,https://dukegodley.co.uk,,no,,2026-08-17,,"small financial advisory firm, website found but no careers page"
CAPITAL OIL LIMITED,05637488,14.0,28-11-2005,Office 1 Hatherton Court Walsall England WS4 2LA,checked,,,no,,2026-08-17,,"dormant/shell company, no genuine website found"
SKYBOUND FINANCIAL PLANNING LIMITED,03116941,14.0,23-10-1995,Solent Business Park 4500 Parkway Fareham England PO15 7AZ,checked,https://skyboundfp.co.uk,,no,,2026-08-17,,"small IFA firm, website found but no dedicated careers page located"
CONSULTIST LIMITED,04701671,14.0,18-03-2003,11 Middle Way Oxford England OX2 7LH,checked,,,unclear,,2026-08-17,,"no website found, only directory listing for management consultancy"
PLATINUM PURE CAPITAL LIMITED,07028208,14.0,23-09-2009,236 Creighton Avenue London England N2 9BD,checked,,,unclear,,2026-08-17,,no website found; tiny fund management entity at residential address
Z-VISIONS INNOVATIONS & PROJECT DEVELOPMENT LTD,08090382,14.0,31-05-2012,71-75 Shelton Street London United Kingdom WC2H 9JQ,checked,http://www.z-visions.com/,,no,,2026-08-17,,"one-person vision/venture capital enterprise, website found but no careers page"
UNITED INTERCONSULTING LIMITED,08029256,14.0,13-04-2012,85 Great Portland Street London England W1W 7LT,checked,https://united-interconsulting.com,,no,,2026-08-17,,"small family-office/venture capital firm, website found but no careers page"
AITI HOLDINGS LIMITED,03949333,14.0,16-03-2000,5th Floor 22 Eastcheap London England EC3M 1EU,pending,,,,,,,
BUSINESS MONEYBOX (SERVICES) LTD,07167287,14.0,24-02-2010,117 Harlesden Road London England NW10 2BT,checked,,,unclear,,2026-08-17,,Small firm; not the Moneybox fintech app; no website found
FAIREY ASSOCIATES LIMITED,06535124,14.0,14-03-2008,Mayfield Farm Hungerdown Lane Colchester CO7 7LZ,checked,https://faireyassociates.co.uk/,,no,,2026-08-17,,"Small independent financial advisers firm, no careers page found"
SAPIENTI LIMITED,07756538,13.5,30-08-2011,82a James Carter Road Officeserv Mildenhall England IP28 7DE,checked,,,unclear,,2026-08-17,,No website found matching this entity
BEAUCLERC ADVISORY SERVICES LIMITED,07759898,13.5,02-09-2011,20 North Audley Street London England W1K 6LX,checked,https://beauclerc.com/,,no,,2026-08-17,,"Niche family-office asset manager, no careers page identified"
JAY CAPITAL LTD,08386976,13.5,04-02-2013,3rd Floor Suite London England W1B 3HH,checked,,,unclear,,2026-08-17,,tiny 1-employee firm; domain resolves to webmail login only
BEDROCK ASSET MANAGEMENT (UK) LTD,05171393,13.0,06-07-2004,33 Glasshouse Street London United Kingdom W1B 5DG,checked,https://www.bedrockgroup.com/,,no,,2026-08-17,,Multi-family office (Bedrock Group); job boards show 0 current London openings
MURRAY ROUND WEALTH MANAGEMENT LIMITED,04010289,13.0,08-06-2000,2 Claremont Bank Salop SY1 1RW,checked,http://www.murrayround.co.uk,,no,,2026-08-17,,"Small local IFA firm (single adviser, Shrewsbury), no careers page"
CHANTERELLE UNDERWRITING LIMITED,03853053,13.0,29-09-1999,5th Floor 40 Gracechurch Street London England EC3V 0BT,checked,,,no,,2026-08-17,,Lloyd's Names' underwriting vehicle (LLV) at shared address; no independent website/staff
PARK FARM UNDERWRITING LIMITED,03848332,13.0,21-09-1999,5th Floor 40 Gracechurch Street London England EC3V 0BT,checked,,,no,,2026-08-17,,"Lloyd's LLV underwriting vehicle, no independent website/staff"
IAM INVEST LTD,04007950,13.0,05-06-2000,4 Hill Street null W1J 5NE,pending,,,,,,,
WELLINGTON MANAGEMENT INTERNATIONAL LIMITED,04283513,13.0,07-09-2001,Cardinal Place London SW1E 5JL,pending,,,,,,,
BLACKROCK ADVISORS (UK) LIMITED,00796793,13.0,18-03-1964,12 Throgmorton Avenue London EC2N 2DL,pending,,,,,,,
BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,02020394,13.0,16-05-1986,12 Throgmorton Avenue London EC2N 2DL,pending,,,,,,,
CLEAR FINANCIAL SOLUTIONS (MIDLANDS) LTD,07081690,13.0,19-11-2009,195 Sandbed Lane Belper England DE56 0SL,pending,,,,,,,
HANSON ASSET MANAGEMENT LTD,07199183,13.0,23-03-2010,6 Arlington Street London SW1A 1RE,pending,,,,,,,
IAN DAVENPORT LIMITED,03848333,13.0,21-09-1999,5th Floor 40 Gracechurch Street London England EC3V 0BT,pending,,,,,,,
ALTIR UNDERWRITING LIMITED,03849926,13.0,24-09-1999,5th Floor 40 Gracechurch Street London England EC3V 0BT,pending,,,,,,,
KILLYGOWAN LIMITED,03829477,13.0,17-08-1999,5th Floor 40 Gracechurch Street London England EC3V 0BT,pending,,,,,,,
PB UNDERWRITING LIMITED,03852294,13.0,28-09-1999,5th Floor 40 Gracechurch Street London England EC3V 0BT,pending,,,,,,,
FORWARD UNDERWRITING LIMITED,03852289,13.0,28-09-1999,5th Floor 40 Gracechurch Street London England EC3V 0BT,pending,,,,,,,
FERRAVALE LIMITED,03641384,13.0,25-09-1998,5th Floor 40 Gracechurch Street London England EC3V 0BT,pending,,,,,,,
YATI CAPITAL LIMITED,07049453,13.0,20-10-2009,50 Braeburn Mansions 5 Mary Neuner Road London England N8 0FA,pending,,,,,,,
A J BUCKLEY ASSET MANAGEMENT LIMITED,02730015,13.0,09-07-1992,The Old Rectory Weybridge KT13 8DE,pending,,,,,,,
KING & SHAXSON ASSET MANAGEMENT LIMITED,03870667,13.0,03-11-1999,155 Fenchurch Street London England EC3M 6AL,pending,,,,,,,
KNIGHT DOLLYS LIMITED,03853046,13.0,29-09-1999,5th Floor 40 Gracechurch Street London England EC3V 0BT,pending,,,,,,,
AINSWORTH CAPITAL LIMITED,07300332,13.0,30-06-2010,22 The Chase Reigate RH2 7DH,pending,,,,,,,
CAPITAL INTERNATIONAL LIMITED,01613098,13.0,11-02-1982,1 Paddington Square London United Kingdom W2 1GL,pending,,,,,,,
CREATIVE CAPITAL FUND GENERAL PARTNER LIMITED,05349344,13.0,01-02-2005,57g Randolph Avenue London W9 1BQ,pending,,,,,,,
CAPEL COURT LIMITED,02686967,13.0,12-02-1992,The Pavilions Eden Park Bristol United Kingdom BS20 0DD,pending,,,,,,,
INGATESTONE GOVERNANCE AND COMPLIANCE LIMITED,07447290,13.0,22-11-2010,146 New London Road Chelmsford England CM2 0AW,pending,,,,,,,
APOLLO MEDIA LTD,03192726,13.0,30-04-1996,Flat 8 30 Redcliffe Square London England SW10 9JY,pending,,,,,,,
COMMITTED CAPITAL LIMITED,04479415,13.0,08-07-2002,148-150 Buckingham Palace Road London England SW1W 9TR,pending,,,,,,,
BANQUE CAPITAL SUISSE LTD,08041240,13.0,23-04-2012,08041240 - COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH,pending,,,,,,,
SORS ASSET MANAGEMENT EUROPE LIMITED,07342518,13.0,11-08-2010,23 Berkeley Square London England W1J 6EJ,pending,,,,,,,
SELLEK WEALTH MANAGEMENT LIMITED,07243432,13.0,05-05-2010,Hyak House Cheltenham GL54 5TH,pending,,,,,,,
MILBURN UNDERWRITING LIMITED,05227017,13.0,09-09-2004,5th Floor 70 Gracechurch Street London England EC3V 0XL,pending,,,,,,,
CAPRICORN FUND MANAGERS LIMITED,06849383,13.0,17-03-2009,2nd Floor Malta House London W1J 0DP,pending,,,,,,,
JENNER UNDERWRITING LIMITED,03849918,13.0,24-09-1999,5th Floor 40 Gracechurch Street London England EC3V 0BT,pending,,,,,,,
KILLIN UNDERWRITING LIMITED,03830302,13.0,18-08-1999,5th Floor 40 Gracechurch Street London England EC3V 0BT,pending,,,,,,,
INVESCO ASSET MANAGEMENT LIMITED,00949417,13.0,07-03-1969,Perpetual Park Henley-On-Thames RG9 1HH,pending,,,,,,,
SCHRODER INVESTMENT MANAGEMENT LIMITED,01893220,13.0,07-03-1985,1 London Wall Place London England EC2Y 5AU,pending,,,,,,,
WELLES UNDERWRITING LIMITED,05226381,13.0,09-09-2004,5th Floor 40 Gracechurch Street London England EC3V 0BT,pending,,,,,,,
STAR CAPITAL PARTNERS LIMITED,03862379,13.0,15-10-1999,15th Floor 33 Cavendish Square London England W1G 0PW,pending,,,,,,,
PETER JOHNSON FINANCIAL PLANNING LTD,08248086,13.0,10-10-2012,13 Trinity Square Llandudno LL30 2RB,pending,,,,,,,
KELVEDON INVESTMENTS LTD,07242991,13.0,04-05-2010,14b South Park Drive Gerrards Cross United Kingdom SL9 8JH,pending,,,,,,,
GL INTEGRITY FINANCIAL PLANNING LTD,05814248,13.0,11-05-2006,Bristol & Bath Science Park Bristol & Bath Science Park Bristol England BS16 7FR,pending,,,,,,,
POLUS CAPITAL MANAGEMENT LIMITED,04885685,13.0,03-09-2003,Asticus Building London United Kingdom SW1H 0AD,pending,,,,,,,
CAPITAL PARTNERS LONDON LIMITED,03882524,13.0,24-11-1999,C/O Gkp Viglen House Wembley England HA0 1HD,pending,,,,,,,
CAPITAL DYNAMICS LIMITED,02215798,13.0,01-02-1988,16 St. Martin's Le Grand London England EC1A 4EN,pending,,,,,,,
ALTERA PARTNERS MANAGEMENT LIMITED,04945309,13.0,28-10-2003,Berkeley Square House 2nd Floor Berkeley Square House London England W1J 6BD,pending,,,,,,,
ENVIRONMENTAL FINANCE LIMITED,08195029,13.0,29-08-2012,"W106 Vox Studios,  1-45 Durham Street London England SE11 5JH",pending,,,,,,,
RECLAIM FUND LTD,07344884,13.0,13-08-2010,27 Old Gloucester Street London United Kingdom WC1N 3AX,pending,,,,,,,
IMPAX ASSET MANAGEMENT LIMITED,03583839,13.0,18-06-1998,7th Floor 30 Panton Street London England SW1Y 4AJ,pending,,,,,,,
SORBIETREES UNDERWRITING LIMITED,04521649,13.0,29-08-2002,5th Floor 40 Gracechurch Street London England EC3V 0BT,pending,,,,,,,
GORE ANDREWS NAMECO LIMITED,03852297,13.0,28-09-1999,5th Floor 40 Gracechurch Street London England EC3V 0BT,pending,,,,,,,
VALENTINE UNDERWRITING LIMITED,03637376,13.0,18-09-1998,5th Floor 40 Gracechurch Street London England EC3V 0BT,pending,,,,,,,
A G SADOWSKI UNDERWRITING LIMITED,03840766,13.0,08-09-1999,5th Floor 40 Gracechurch Street London England EC3V 0BT,pending,,,,,,,
FINDOMESTIC LTD,08141652,13.0,12-07-2012,08141652 - COMPANIES HOUSE DEFAULT ADDRESS Cardiff CF14 8LH,pending,,,,,,,
AXM VENTURE CAPITAL LIMITED,05089856,13.0,31-03-2004,57g Randolph Avenue London W9 1BQ,pending,,,,,,,
SPARROWS CAPITAL LIMITED,08623416,12.5,24-07-2013,35-37 Ludgate Hill London England EC4M 7JN,pending,,,,,,,
INGENIOUS CAPITAL MANAGEMENT LIMITED,07728908,12.5,04-08-2011,Myo Piccadilly London United Kingdom W1F 7BL,pending,,,,,,,
KHAGA LIMITED,07548762,12.5,02-03-2011,Flat 6 Fitzjohns Avenue London England NW3 6NP,pending,,,,,,,
SKF TRADING LIMITED,07678618,12.5,22-06-2011,181 Queen Victoria Street London England EC4V 4EG,pending,,,,,,,
FORTUNE TRADING & CONSULTANCY LTD,07501359,12.5,21-01-2011,98 Parkway Erith England DA18 4HH,pending,,,,,,,
LOTUS INVESTMENT MANAGEMENT LTD,07765801,12.5,07-09-2011,33 Glasshouse Street London United Kingdom W1B 5DG,pending,,,,,,,
EPN INTERNATIONAL LIMITED,08688921,12.5,12-09-2013,103 High Street Waltham Cross England EN8 7AN,pending,,,,,,,
CLOUDBREAK LTD,07654377,12.5,01-06-2011,"C/O Gorrie Whitson Limited,  1st Floor,  Cromwell House London England WC1V 6HZ",pending,,,,,,,
DREAM ADVERTISING LTD,09507691,12.5,25-03-2015,71-75 Shelton Street London England WC2H 9JQ,pending,,,,,,,
WISEST LIMITED,09541939,12.5,14-04-2015,25 Norway Gate London England SE16 7TR,pending,,,,,,,
CHIMARA LIMITED,08986533,12.0,08-04-2014,124 City Road 124 City Road London United Kingdom EC1V 2NX,pending,,,,,,,
BORDIER & CIE (UK) PLC,01583393,12.0,01-09-1981,23 King Street London SW1Y 6QY,pending,,,,,,,
ELLIOT FLETCHER LIMITED,05147846,12.0,08-06-2004,Yorkshire House 4th Floor Liverpool United Kingdom L3 9AG,pending,,,,,,,
FLETCHER KING INVESTMENT MANAGEMENT PLC,05862811,12.0,30-06-2006,19-20 Great Pulteney Street London England W1F 9NF,pending,,,,,,,
COLLINS SARRI STATHAM INVESTMENTS LIMITED,06539190,12.0,19-03-2008,138 Fortis Green Road Muswell Hill United Kingdom N10 3DU,pending,,,,,,,
OMNICLOUT LIMITED,10314683,12.0,05-08-2016,2 - 8 Scrutton Street London England EC2A 4RT,pending,,,,,,,
INVESCO FUND MANAGERS LIMITED,00898166,12.0,14-02-1967,Perpetual Park Henley-On-Thames United Kingdom RG9 1HH,pending,,,,,,,
STARHA ENTERPRISES UK LTD,10389120,12.0,22-09-2016,32 St George Street London United Kingdom W1S 2EA,pending,,,,,,,
OAKRIDGE FINANCIAL PLANNING LIMITED,04477172,12.0,04-07-2002,197 Bakers Ground Bristol BS34 8GE,pending,,,,,,,
MARSHALL ZOING LIMITED,04615794,12.0,12-12-2002,Third Floor Liverpool United Kingdom L3 9SJ,pending,,,,,,,
SYNERGIC LINKS LIMITED,06277715,12.0,13-06-2007,164 Forum House Empire Way Wembley England HA9 0HL,pending,,,,,,,
AYRES PUNCHARD INVESTMENT MANAGEMENT LIMITED,06746940,12.0,11-11-2008,Tudor Mead Newport Road Ventnor PO38 2DF,pending,,,,,,,
RICHMOND SPRING CAPITAL PARTNERS LTD,10367157,12.0,09-09-2016,7 Stratford Place London England W1C 1AY,pending,,,,,,,
J H LOWSON & COMPANY LIMITED,08013456,12.0,30-03-2012,16 Dalton Square Lancaster England LA1 1PL,pending,,,,,,,
HEDLEY & COMPANY STOCKBROKERS LIMITED,06355300,12.0,29-08-2007,Suite 20 Manor Court Salesbury Hall Road Preston England PR3 3XR,pending,,,,,,,
MAZAL E&Y LTD,06522503,12.0,04-03-2008,35 Ballards Lane London N3 1XW,pending,,,,,,,
VR FINANZ E.G.,08867022,12.0,29-01-2014,Companyplanet Unit Hounslow/Greater London England TW4 6JQ,pending,,,,,,,
CLIMATE INSULATION LIMITED,06869211,12.0,03-04-2009,Sovereign House Cheadle SK8 2EA,pending,,,,,,,
FINANCIAL LINK LIMITED,02106689,12.0,05-03-1987,29 Wayland Avenue Brighton England BN1 5LW,pending,,,,,,,
CAPDESIA GROUP LIMITED,10428605,12.0,14-10-2016,16 Great Queen Street London United Kingdom WC2B 5AH,pending,,,,,,,
HIP EUROPE MANAGEMENT LTD,06487588,12.0,29-01-2008,Dept 302 43 Owston Road Doncaster England DN6 8DA,pending,,,,,,,
TMS CAPITAL LIMITED,03960337,12.0,30-03-2000,The Innovation Centre University Way Bedford MK43 0BT,pending,,,,,,,
CHARLWOOD IFA LIMITED,04820268,12.0,03-07-2003,35 Seamoor Road Bournemouth BH4 9AE,pending,,,,,,,
REAL FOR INVESTMENT LTD.,10310154,12.0,03-08-2016,4 Greystoke Gardens London W5 1EP,pending,,,,,,,
SAND AIRE LIMITED,03066958,12.0,12-06-1995,1 London Wall Place London England EC2Y 5AU,pending,,,,,,,
MAX OFFSHORE LIMITED,09072068,12.0,05-06-2014,364 West Road Newcastle Upon Tyne United Kingdom NE4 9JY,pending,,,,,,,
FINDON HOUSE LIMITED,10475767,12.0,14-11-2016,4 Wimbledon Close London England SW20 8HW,pending,,,,,,,
RED BOX SERVICES (UK) LTD,09001123,12.0,17-04-2014,71-75 Shelton Street London WC2H 9JQ,pending,,,,,,,
EVOLVE CONSULTING UK LIMITED,04387680,12.0,05-03-2002,607 Corson House City Island Way London England E14 0TL,pending,,,,,,,
FORESIGHT ENTERPRISE VCT PLC,03506579,12.0,03-02-1998,The Shard London SE1 9SG,pending,,,,,,,
JOINT VENTURES (INVESTMENTS) LIMITED,04381821,12.0,26-02-2002,23 Canons Close Radlett WD7 7ER,pending,,,,,,,
FS FIRST SOLUTIONS LIMITED,08006945,12.0,26-03-2012,37th Floor 1 Canada Square London United Kingdom E14 5AA,pending,,,,,,,
UTILITIES INVESTMENT RESEARCH LIMITED,03034260,12.0,17-03-1995,58 Southdean Gardens null SW19 6NU,pending,,,,,,,
RACEFIELDS LTD,06718275,12.0,08-10-2008,Highlands House Highlands Oldham England OL2 5HP,pending,,,,,,,
MENEXCEL LIMITED,07974625,12.0,02-03-2012,85a Creffield Road London W3 9PU,pending,,,,,,,
SOURCE OF INSPIRATION LIMITED,02957266,12.0,10-08-1994,5 Hawley Drive Altrincham England WA15 0DP,pending,,,,,,,
MATTHEW J STOREY LIMITED,05526019,12.0,02-08-2005,Upper Farm Chippenham England SN14 7AG,pending,,,,,,,
FORESIGHT VCT PLC,03421340,12.0,19-08-1997,C/O Foresight Group Llp The Shard London United Kingdom SE1 9SG,pending,,,,,,,
IMPERIAL ARBITRAGE CAPITAL LIMITED,10530467,12.0,17-12-2016,28 Barlow Drive London United Kingdom SE18 4NE,pending,,,,,,,
GATEWAY FINANCIAL ADVISERS (UK) LTD,07261628,12.0,21-05-2010,170 Upper New Walk Leicester LE1 7QA,pending,,,,,,,
EGOY DISTRIBUTION LIMITED,08702913,11.5,24-09-2013,Care Of Goldwins Ltd London England NW6 2EG,pending,,,,,,,
LOGEX LTD,11126296,11.5,28-12-2017,"Studio No. 28,  138 Marylebone Road London England NW1 5PH",pending,,,,,,,
SINCLAIR ADVISORY SERVICES LTD.,07595733,11.5,07-04-2011,Elklands Petworth England GU28 0EA,pending,,,,,,,
DIGICROP TECHNOLOGIES LTD.,10583740,11.5,25-01-2017,71-75 Shelton Street London England WC2H 9JQ,pending,,,,,,,
INVESTING IN YOUR FUTURE LIMITED,08416754,11.5,25-02-2013,36 Westlake Rotherhithe New Road London SE16 2BW,pending,,,,,,,
GLADMAX GROUP LIMITED,10790521,11.5,26-05-2017,31 Belson Road London England SE18 5PU,pending,,,,,,,
SIMPLY EFFECTIVE SOLUTIONS LTD,SC497134,11.5,06-02-2015,SC497134 - COMPANIES HOUSE DEFAULT ADDRESS Edinburgh EH7 9HR,pending,,,,,,,
HAVISHAM ASSETS LIMITED,08379611,11.5,29-01-2013,Level 12 Thames Tower Reading England RG1 1LX,pending,,,,,,,
SYMVAN CAPITAL LIMITED,08772369,11.5,12-11-2013,2 London Wall Place London England EC2Y 5AU,pending,,,,,,,
ADVON SOLUTIONS LIMITED,11088559,11.5,29-11-2017,2 Trevor Road London England SW19 3PW,pending,,,,,,,
DP SUPPORT SERVICES C.I.C.,07645482,11.5,24-05-2011,24 The Firlands Redcar TS11 7AE,pending,,,,,,,
SHANTI CONSULTING LIMITED,10738600,11.5,25-04-2017,81 London Road Leicester England LE2 0PF,pending,,,,,,,
IMPAX ASSET MANAGEMENT (AIFM) LIMITED,08819010,11.5,18-12-2013,7th Floor 30 Panton Street London England SW1Y 4AJ,pending,,,,,,,
WEITZMAN & JOHNSON WEALTH PLANNERS LTD,08410818,11.5,20-02-2013,Churchill House London England NW4 4DJ,pending,,,,,,,
B&E CONSULT LIMITED,11091013,11.5,01-12-2017,Level 3 207 Regent Street London United Kingdom W1B 3HH,pending,,,,,,,
AFLAX LTD,06887676,11.0,24-04-2009,Suite 58 Princes Court London England SW3 1ET,pending,,,,,,,
UPSILON BETA INVESTMENT LTD,07996938,11.0,20-03-2012,3 Chapel Street Congleton England CW12 4AB,pending,,,,,,,
C M WHITE INVESTMENTS LIMITED,02399561,11.0,29-06-1989,"Arbor C/O Winckworth Sherwood,  Arbor London United Kingdom SE1 9AX",pending,,,,,,,
BARGAIN MUNKY LIMITED,09133268,11.0,16-07-2014,49 Albion Road Birmingham England B21 8BG,pending,,,,,,,
PROJECT XYZ LIMITED,10346473,11.0,25-08-2016,71-75 Shelton Street Covent Garden London United Kingdom WC2H 9JQ,pending,,,,,,,
INVESTMENT WISE LIMITED,10354965,11.0,01-09-2016,52 Marsham Street Maidstone England ME14 1HH,pending,,,,,,,
THREADNEEDLE PENSIONS LIMITED,00984167,11.0,09-07-1970,Cannon Place London EC4N 6AG,pending,,,,,,,
THREADNEEDLE ASSET MANAGEMENT LIMITED,00573204,11.0,22-10-1956,Cannon Place London EC4N 6AG,pending,,,,,,,
SUNDELL LIMITED,11383586,11.0,25-05-2018,27 Old Gloucester Street London United Kingdom WC1N 3AX,pending,,,,,,,
AXA INVESTMENT MANAGERS UK LIMITED,01431068,11.0,19-06-1979,22 Bishopsgate London United Kingdom EC2N 4BQ,pending,,,,,,,
AXA INVESTMENT MANAGERS GS LIMITED,03601496,11.0,21-07-1998,22 Bishopsgate London United Kingdom EC2N 4BQ,pending,,,,,,,
VIJAY ASSOCIATES LIMITED,03380291,11.0,03-06-1997,24 Gatehill Road Northwood England HA6 3QD,pending,,,,,,,
HALLMARK CORPORATE FINANCE LTD,11622352,11.0,15-10-2018,31 Belson Road London England SE18 5PU,pending,,,,,,,
SOCIAL LOGIC LTD,11675749,11.0,13-11-2018,101 Corson House City Island Way London England E14 0TL,pending,,,,,,,
SOLD IT ONLINE LIMITED,11161877,11.0,22-01-2018,4 Wimbledon Close London England SW20 8HW,pending,,,,,,,
SOVEREIGN ASSETS & INVESTMENTS LIMITED,07975354,11.0,05-03-2012,6 Barnfield Place London England E14 9YA,pending,,,,,,,
